student_id,gender,ethnicity,parent_education,lunch,test_preparation,math_score,reading_score,writing_score,sports_participation,absences,extra_classes,psychological_score,tech_access,internet_quality,daily_study_hours,social_activity_level,motivation_level
S0497,Male,Group D,Master's degree,Free/Reduced,Completed,45,50,92,No,4,No,6,No,Good,1.8,Medium,7
S0498,Female,Group E,Bachelor's degree,Standard,None,80,58,70,Yes,25,No,9,Yes,Poor,2.6,High,7
S0499,Male,Group E,Associate degree,Standard,None,96,61,31,Yes,25,No,6,No,Good,3.9,High,10
S0500,Female,Group C,Associate degree,Standard,Completed,83,74,57,Yes,13,No,6,No,Poor,3.6,Low,2
S0501,Male,Group A,High school,Free/Reduced,Completed,49,88,45,Yes,23,No,8,Yes,Poor,4,Low,10
S0502,Male,Group A,Bachelor's degree,Free/Reduced,Completed,62,32,88,Yes,26,No,5,Yes,Good,4.4,Medium,4
S0503,Female,Group E,Some college,Free/Reduced,None,37,68,30,No,6,No,5,Yes,Poor,4.5,Medium,8
S0504,Female,Group E,High school,Free/Reduced,None,53,80,30,No,10,Yes,10,No,Average,4.6,Medium,6
S0505,Female,Group B,Associate degree,Standard,Completed,82,37,60,No,14,No,1,Yes,Average,6,High,7
S0506,Male,Group E,Some college,Standard,None,93,75,51,Yes,20,No,6,No,Poor,2.5,High,10
S0507,Male,Group E,Master's degree,Standard,Completed,87,95,88,Yes,10,Yes,1,Yes,Poor,0.7,High,6
S0508,Female,Group B,Bachelor's degree,Free/Reduced,Completed,66,35,57,No,6,No,8,No,Average,2.4,High,9
S0509,Male,Group D,Associate degree,Free/Reduced,None,41,87,56,Yes,20,No,10,Yes,Poor,5.5,Low,10
S0510,Male,Group D,Master's degree,Standard,None,33,70,30,Yes,22,Yes,9,No,Poor,1,Medium,10
S0511,Female,Group B,Associate degree,Standard,None,60,83,31,Yes,19,No,6,Yes,Good,4.1,Low,9
S0512,Male,Group B,Some college,Free/Reduced,None,67,70,95,No,19,Yes,9,No,Good,2.8,Low,6
S0513,Male,Group D,High school,Standard,None,66,77,78,Yes,25,Yes,2,Yes,Average,5.6,High,6
S0514,Male,Group D,Some college,Standard,None,43,99,48,Yes,3,No,9,Yes,Average,5.6,Medium,9
S0515,Female,Group D,Bachelor's degree,Free/Reduced,None,53,56,57,Yes,26,Yes,4,Yes,Good,4.8,High,10
S0516,Male,Group D,Bachelor's degree,Standard,Completed,39,76,99,No,23,Yes,3,Yes,Good,1,High,9
S0517,Female,Group C,Associate degree,Free/Reduced,Completed,67,52,68,Yes,0,No,1,No,Average,0.6,Medium,3
S0518,Male,Group B,Some college,Standard,None,72,43,48,No,25,No,1,Yes,Average,1.3,Medium,7
S0519,Male,Group A,High school,Standard,Completed,66,90,93,Yes,20,Yes,8,No,Average,2.3,Low,3
S0520,Male,Group C,Bachelor's degree,Standard,Completed,71,96,87,Yes,27,No,2,Yes,Good,1.8,High,4
S0521,Male,Group A,High school,Free/Reduced,Completed,61,54,46,No,25,Yes,1,Yes,Good,2.5,High,9
S0522,Male,Group A,Master's degree,Free/Reduced,Completed,43,94,99,No,1,Yes,2,Yes,Poor,1.3,High,10
S0523,Female,Group E,Associate degree,Free/Reduced,None,33,53,70,No,25,No,3,Yes,Average,4.6,Medium,8
S0524,Male,Group B,High school,Free/Reduced,Completed,53,82,34,Yes,3,Yes,4,No,Poor,5.1,High,6
S0525,Male,Group C,Associate degree,Standard,Completed,39,79,52,No,4,No,9,No,Average,3.2,High,6
S0526,Male,Group B,Master's degree,Free/Reduced,None,45,30,98,No,23,No,7,Yes,Good,5.8,High,8
S0527,Male,Group D,High school,Standard,Completed,68,68,39,No,1,No,5,No,Average,1.2,High,2
S0528,Female,Group B,High school,Standard,Completed,47,73,97,Yes,1,No,5,No,Average,1.1,Low,5
S0529,Male,Group A,Master's degree,Standard,None,54,34,41,No,17,Yes,6,Yes,Good,1.6,Medium,7
S0530,Male,Group D,Some college,Standard,Completed,36,97,39,Yes,29,No,1,Yes,Good,5.9,Low,3
S0531,Male,Group B,High school,Standard,None,85,94,89,Yes,23,No,6,No,Average,2.8,Medium,8
S0532,Male,Group B,High school,Standard,None,76,44,59,Yes,27,No,6,No,Average,5.6,High,3
S0533,Female,Group A,Bachelor's degree,Standard,None,32,79,53,No,13,Yes,5,Yes,Average,1.6,Medium,4
S0534,Female,Group D,Some college,Free/Reduced,Completed,30,35,98,No,2,No,10,Yes,Average,5.2,Low,10
S0535,Male,Group A,High school,Standard,Completed,62,95,42,No,20,Yes,9,Yes,Average,2.2,High,10
S0536,Male,Group B,Master's degree,Free/Reduced,None,88,98,38,No,17,Yes,10,Yes,Good,4.5,Low,6
S0537,Male,Group C,Associate degree,Standard,None,61,68,47,Yes,21,Yes,10,Yes,Average,5.9,Low,6
S0538,Male,Group C,Master's degree,Free/Reduced,None,46,58,64,No,9,Yes,5,Yes,Good,5.6,Low,2
S0539,Male,Group E,Some college,Standard,Completed,46,75,33,No,5,No,9,Yes,Poor,5.1,Medium,2
S0540,Female,Group C,Bachelor's degree,Free/Reduced,Completed,50,60,70,Yes,1,No,10,Yes,Poor,0.8,Low,3
S0541,Female,Group D,Bachelor's degree,Standard,None,84,53,55,No,19,Yes,7,Yes,Average,3.8,Medium,3
S0542,Male,Group E,Bachelor's degree,Free/Reduced,Completed,35,44,73,Yes,10,Yes,3,Yes,Poor,5.1,Low,4
S0543,Male,Group D,Master's degree,Free/Reduced,Completed,78,49,71,Yes,17,No,9,No,Good,2.7,Low,4
S0544,Male,Group C,Associate degree,Free/Reduced,None,55,33,39,No,13,Yes,10,No,Poor,4.5,Medium,4
S0545,Female,Group C,Associate degree,Standard,Completed,61,87,30,Yes,25,Yes,7,No,Poor,1.3,Medium,10
S0546,Male,Group B,High school,Standard,Completed,73,90,83,Yes,19,Yes,4,Yes,Good,1.5,Low,10
S0547,Male,Group D,Associate degree,Free/Reduced,None,88,39,45,Yes,12,No,9,No,Average,4,Low,3
S0548,Female,Group A,Associate degree,Free/Reduced,Completed,58,70,75,No,28,Yes,6,Yes,Good,2.9,High,1
S0549,Female,Group B,High school,Standard,Completed,46,82,42,No,26,Yes,9,Yes,Good,1.7,Low,9
S0550,Male,Group D,Master's degree,Standard,Completed,47,77,93,No,6,Yes,4,Yes,Average,2.1,Low,2
S0551,Male,Group E,Master's degree,Standard,None,69,44,84,Yes,20,No,10,No,Good,3.9,High,3
S0552,Male,Group D,Some college,Standard,Completed,92,36,92,No,25,Yes,2,Yes,Average,4.5,Low,2
S0553,Male,Group E,Master's degree,Standard,Completed,74,72,47,No,19,No,9,Yes,Good,1.6,Low,6
S0554,Female,Group E,Bachelor's degree,Free/Reduced,Completed,32,33,90,Yes,9,No,10,No,Poor,5.8,Medium,6
S0555,Female,Group C,Bachelor's degree,Free/Reduced,Completed,32,80,49,No,25,No,4,Yes,Average,0.5,Medium,1
S0556,Male,Group A,Some college,Free/Reduced,Completed,67,88,94,No,18,No,2,No,Average,4.4,Medium,4
S0557,Female,Group D,Associate degree,Free/Reduced,None,69,70,93,Yes,28,Yes,7,No,Poor,2.1,Low,10
S0558,Male,Group A,Some college,Standard,Completed,97,90,93,No,28,Yes,7,Yes,Poor,3.1,Medium,5
S0559,Female,Group E,High school,Standard,None,83,59,42,Yes,12,No,5,No,Average,3.6,Low,6
S0560,Male,Group C,Some college,Free/Reduced,Completed,49,47,97,No,21,Yes,5,No,Poor,3.6,High,5
S0561,Male,Group A,Some college,Standard,None,44,59,99,No,1,Yes,8,Yes,Good,4.8,Medium,3
S0562,Female,Group B,Bachelor's degree,Standard,None,34,36,86,No,19,No,6,Yes,Good,5,High,3
S0563,Female,Group E,High school,Free/Reduced,Completed,68,81,74,Yes,11,No,1,Yes,Good,0.9,Low,3
S0564,Female,Group B,High school,Free/Reduced,None,69,77,67,No,7,Yes,4,Yes,Poor,4.4,Low,6
S0565,Female,Group A,Some college,Standard,Completed,36,52,83,No,17,Yes,1,No,Poor,2.7,High,4
S0566,Female,Group A,High school,Free/Reduced,None,62,66,65,Yes,24,Yes,5,Yes,Poor,5,High,4
S0567,Male,Group A,High school,Standard,Completed,66,82,96,No,1,Yes,5,No,Average,3.8,High,3
S0568,Male,Group D,Master's degree,Free/Reduced,Completed,61,74,40,Yes,15,No,4,Yes,Good,0.6,High,4
S0569,Female,Group E,High school,Standard,Completed,72,78,56,No,7,No,9,No,Average,4.2,Medium,8
S0570,Male,Group E,Associate degree,Free/Reduced,Completed,92,78,46,No,15,No,8,Yes,Average,5.6,High,3
S0571,Male,Group E,High school,Standard,None,65,76,62,No,7,Yes,10,No,Average,1,Medium,10
S0572,Male,Group D,Bachelor's degree,Standard,Completed,78,54,34,No,22,No,3,Yes,Good,3.2,High,3
S0573,Male,Group A,Master's degree,Standard,Completed,54,56,91,No,29,Yes,5,No,Good,3.9,High,6
S0574,Female,Group A,Bachelor's degree,Free/Reduced,Completed,95,41,94,No,12,No,6,Yes,Good,1.6,Medium,1
S0575,Male,Group B,Bachelor's degree,Standard,None,38,52,96,Yes,25,Yes,5,No,Poor,4.1,Low,10
S0576,Male,Group D,Associate degree,Standard,Completed,47,46,73,No,5,Yes,8,Yes,Good,0.8,Low,6
S0577,Male,Group C,Master's degree,Free/Reduced,None,51,73,43,Yes,0,No,5,Yes,Poor,5.5,Low,9
S0578,Male,Group D,Some college,Free/Reduced,None,44,53,86,No,1,No,8,Yes,Poor,4.7,Low,3
S0579,Female,Group B,High school,Standard,Completed,36,89,77,Yes,6,Yes,10,Yes,Poor,5.7,Medium,2
S0580,Male,Group B,Associate degree,Standard,None,42,82,46,Yes,12,Yes,10,Yes,Good,2.8,Low,3
S0581,Male,Group B,Associate degree,Free/Reduced,Completed,65,45,73,Yes,26,No,3,No,Good,0.7,Medium,3
S0582,Male,Group A,Some college,Free/Reduced,None,45,54,33,No,3,Yes,5,No,Good,2.4,Medium,2
S0583,Female,Group C,Associate degree,Standard,Completed,70,95,59,No,8,Yes,4,No,Good,3.3,Medium,4
S0584,Female,Group B,Some college,Standard,Completed,50,79,84,Yes,18,Yes,6,Yes,Average,5.6,Medium,8
S0585,Male,Group E,Some college,Free/Reduced,Completed,57,98,59,Yes,19,No,3,Yes,Good,5.4,Medium,7
S0586,Male,Group A,Some college,Standard,None,46,69,47,Yes,2,Yes,10,No,Good,3.8,High,10
S0587,Female,Group C,Associate degree,Standard,None,94,35,73,Yes,22,Yes,4,Yes,Good,4.5,Medium,9
S0588,Male,Group E,Some college,Standard,None,42,93,91,Yes,1,Yes,4,No,Good,5.7,Low,8
S0589,Female,Group C,Associate degree,Free/Reduced,None,65,57,60,Yes,15,No,5,Yes,Good,5.2,Medium,7
S0590,Male,Group C,Master's degree,Free/Reduced,Completed,87,38,45,No,9,No,6,No,Average,4.1,Low,6
S0591,Male,Group E,Some college,Standard,Completed,49,35,52,No,27,No,2,No,Average,3.5,Medium,3
S0592,Female,Group D,Associate degree,Standard,None,81,46,43,Yes,11,Yes,10,No,Poor,3.1,Low,10
S0593,Male,Group C,Associate degree,Standard,None,35,69,31,No,17,Yes,8,Yes,Poor,4.7,Medium,4
S0594,Male,Group D,Associate degree,Free/Reduced,None,52,74,41,Yes,1,Yes,4,No,Good,4.9,High,8
S0595,Male,Group C,High school,Standard,None,71,72,87,Yes,13,Yes,7,No,Poor,1.7,Low,2
S0596,Female,Group E,High school,Free/Reduced,Completed,53,75,85,No,11,Yes,7,Yes,Average,3.1,Low,6
S0597,Female,Group C,Some college,Standard,Completed,34,92,53,Yes,19,Yes,10,Yes,Good,4.7,Medium,1
S0598,Male,Group B,Master's degree,Free/Reduced,Completed,61,30,66,No,23,No,2,Yes,Poor,4.2,Low,7
S0599,Male,Group B,Some college,Standard,None,75,88,58,Yes,23,Yes,7,No,Poor,3.8,Medium,4
S0600,Male,Group C,Bachelor's degree,Free/Reduced,None,46,92,71,Yes,23,No,1,Yes,Average,2.3,High,1
S0601,Male,Group E,Bachelor's degree,Free/Reduced,None,56,47,47,No,7,Yes,2,Yes,Good,3.9,High,5
S0602,Female,Group E,Master's degree,Standard,None,97,94,32,No,22,Yes,5,Yes,Poor,3.9,Medium,5
S0603,Female,Group A,Master's degree,Free/Reduced,Completed,52,49,42,No,21,No,8,Yes,Average,2.9,Medium,6
S0604,Female,Group E,Master's degree,Standard,Completed,63,85,58,Yes,27,No,7,Yes,Good,5.8,High,8
S0605,Male,Group D,High school,Free/Reduced,None,50,83,95,No,6,Yes,3,No,Average,4.1,Low,4
S0606,Male,Group C,High school,Standard,Completed,51,77,88,Yes,12,Yes,10,No,Good,5.2,Low,7
S0607,Female,Group B,Bachelor's degree,Free/Reduced,Completed,94,83,77,Yes,14,Yes,9,Yes,Good,1.2,Low,4
S0608,Male,Group E,Master's degree,Free/Reduced,Completed,61,45,33,No,13,No,5,Yes,Good,4.7,High,2
S0609,Male,Group B,Associate degree,Standard,Completed,91,49,80,Yes,4,Yes,3,Yes,Average,3.8,Medium,8
S0610,Female,Group A,Bachelor's degree,Free/Reduced,None,57,76,34,No,7,Yes,7,No,Good,2.2,High,5
S0611,Male,Group C,Master's degree,Standard,Completed,36,36,68,No,17,No,4,No,Poor,1.2,Low,10
S0612,Female,Group E,Associate degree,Standard,Completed,83,52,70,Yes,4,No,1,No,Good,2.6,Medium,4
S0613,Male,Group B,Master's degree,Standard,Completed,99,62,34,Yes,22,Yes,5,Yes,Good,2.9,Medium,2
S0614,Male,Group E,Some college,Free/Reduced,Completed,43,69,37,No,8,Yes,8,No,Average,1.3,Low,7
S0615,Male,Group A,Associate degree,Free/Reduced,None,84,34,85,No,9,No,4,No,Good,4.2,Medium,5
S0616,Male,Group B,Some college,Free/Reduced,Completed,87,74,54,Yes,16,Yes,7,No,Poor,2.2,Low,9
S0617,Male,Group B,High school,Standard,Completed,73,70,81,No,26,No,8,Yes,Poor,4.9,High,7
S0618,Female,Group C,Bachelor's degree,Standard,None,75,37,81,Yes,24,No,9,No,Good,4.1,Medium,9
S0619,Female,Group C,Master's degree,Free/Reduced,None,43,79,36,Yes,2,Yes,9,No,Average,2.2,Low,10
S0620,Male,Group B,Bachelor's degree,Standard,None,73,60,90,No,0,No,5,No,Poor,2.5,Low,10
S0621,Male,Group C,Master's degree,Free/Reduced,None,70,33,76,Yes,6,No,6,Yes,Average,5.7,High,5
S0622,Female,Group B,Some college,Free/Reduced,None,31,95,95,No,14,Yes,7,No,Good,5.7,Medium,6
S0623,Female,Group D,Associate degree,Standard,None,34,85,88,No,18,No,10,Yes,Average,2.8,Medium,8
S0624,Male,Group E,Associate degree,Standard,Completed,41,34,34,Yes,7,No,2,Yes,Good,4.2,Medium,10
S0625,Female,Group D,Master's degree,Standard,Completed,76,83,73,Yes,10,Yes,9,No,Good,5.9,Medium,6
S0626,Female,Group D,Some college,Standard,None,64,30,71,Yes,1,Yes,1,Yes,Average,6,High,4
S0627,Female,Group E,Master's degree,Free/Reduced,Completed,48,90,90,No,19,No,6,No,Poor,0.9,High,2
S0628,Male,Group B,Master's degree,Standard,Completed,92,36,92,No,27,Yes,6,No,Good,3.5,Medium,6
S0629,Female,Group B,Master's degree,Standard,Completed,37,59,79,No,1,No,7,Yes,Good,4.5,Low,9
S0630,Female,Group C,Associate degree,Standard,Completed,52,44,67,No,10,No,2,No,Good,1.5,Medium,8
S0631,Female,Group A,Master's degree,Free/Reduced,Completed,42,33,83,No,19,No,6,No,Poor,5,Medium,3
S0632,Female,Group B,Associate degree,Standard,None,52,92,73,No,27,Yes,6,No,Poor,3.1,Low,5
S0633,Male,Group E,High school,Standard,Completed,60,99,53,Yes,16,No,9,Yes,Good,3.2,Medium,6
S0634,Female,Group A,Some college,Free/Reduced,Completed,59,67,92,Yes,28,No,8,Yes,Poor,2,Low,7
S0635,Female,Group E,High school,Free/Reduced,None,71,76,68,Yes,9,Yes,5,Yes,Average,2.2,High,2
S0636,Female,Group E,Master's degree,Free/Reduced,Completed,31,89,41,No,4,Yes,7,No,Average,1,Low,6
S0637,Male,Group E,Associate degree,Standard,Completed,40,31,92,Yes,2,Yes,7,No,Average,5.6,High,2
S0638,Male,Group A,Some college,Free/Reduced,Completed,54,98,38,No,8,Yes,5,Yes,Average,2.6,Medium,8
S0639,Male,Group D,Bachelor's degree,Free/Reduced,Completed,58,37,51,Yes,19,No,7,Yes,Good,1.4,Low,7
S0640,Female,Group E,Some college,Standard,Completed,51,80,65,Yes,21,Yes,3,No,Average,1.3,Low,2
S0641,Female,Group C,Some college,Standard,Completed,48,48,57,Yes,24,Yes,7,Yes,Poor,2.7,Medium,4
S0642,Female,Group B,Master's degree,Free/Reduced,None,70,60,85,Yes,1,No,6,No,Good,4,High,7
S0643,Male,Group B,High school,Standard,Completed,67,51,58,No,22,No,6,Yes,Poor,4.8,Low,9
S0644,Female,Group B,High school,Standard,None,58,62,34,No,18,Yes,2,No,Average,5.6,Low,3
S0645,Female,Group A,Bachelor's degree,Free/Reduced,None,51,66,33,Yes,16,Yes,2,No,Good,4,Medium,10
S0646,Male,Group C,Master's degree,Standard,Completed,37,41,80,Yes,24,Yes,7,No,Good,2.8,High,10
S0647,Female,Group C,Some college,Standard,Completed,76,98,44,No,24,Yes,1,Yes,Good,2.8,Medium,8
S0648,Female,Group C,High school,Free/Reduced,Completed,35,93,89,No,11,No,9,No,Average,3.7,Low,9
S0649,Male,Group C,High school,Free/Reduced,None,36,54,55,Yes,26,Yes,3,Yes,Poor,3.5,Medium,8
S0650,Male,Group C,Associate degree,Standard,None,65,83,52,Yes,19,No,6,No,Good,4,Medium,4
S0651,Male,Group D,Some college,Free/Reduced,None,37,58,58,Yes,8,No,3,No,Poor,3.3,High,4
S0652,Male,Group C,Master's degree,Free/Reduced,Completed,75,42,86,Yes,22,Yes,9,No,Average,0.8,High,7
S0653,Male,Group C,High school,Standard,None,93,55,91,Yes,3,No,10,Yes,Average,3.3,Medium,4
S0654,Female,Group A,Master's degree,Standard,Completed,60,51,88,Yes,27,Yes,7,No,Poor,0.6,Medium,10
S0655,Male,Group A,Some college,Standard,Completed,52,39,77,No,17,Yes,1,Yes,Good,1.5,Medium,10
S0656,Female,Group C,Some college,Free/Reduced,None,90,77,64,No,15,Yes,4,No,Poor,2.6,Low,7
S0657,Female,Group D,High school,Free/Reduced,None,79,71,75,No,28,Yes,5,No,Good,3.5,High,9
S0658,Male,Group C,Bachelor's degree,Standard,Completed,75,88,62,No,20,No,7,Yes,Good,1.5,Low,9
S0659,Male,Group C,Master's degree,Standard,None,72,82,39,Yes,23,Yes,7,Yes,Poor,2,High,9
S0660,Female,Group C,Master's degree,Standard,None,39,69,77,No,9,No,5,No,Good,2.6,High,10
S0661,Female,Group E,Associate degree,Standard,Completed,49,91,73,No,25,Yes,1,Yes,Good,1.6,Low,10
S0662,Female,Group D,Some college,Free/Reduced,None,45,35,99,No,21,No,5,No,Good,6,Low,6
S0663,Male,Group B,Some college,Free/Reduced,None,32,33,92,Yes,11,No,5,Yes,Average,4.9,Medium,1
S0664,Female,Group C,High school,Free/Reduced,Completed,59,84,78,Yes,29,Yes,4,No,Good,5,High,8
S0665,Male,Group B,High school,Free/Reduced,Completed,47,98,70,Yes,27,Yes,6,Yes,Poor,3.6,High,6
S0666,Female,Group D,High school,Free/Reduced,None,88,32,68,No,10,No,8,Yes,Average,5.8,High,7
S0667,Female,Group C,Associate degree,Free/Reduced,None,99,36,52,No,4,No,10,Yes,Good,4.5,Medium,2
S0668,Female,Group B,Bachelor's degree,Standard,None,64,41,42,Yes,19,No,5,Yes,Average,2.3,High,3
S0669,Male,Group B,High school,Free/Reduced,Completed,48,46,82,Yes,10,Yes,8,No,Poor,3.9,High,6
S0670,Male,Group D,High school,Free/Reduced,None,55,96,99,No,15,Yes,5,Yes,Average,3.5,Low,3
S0671,Female,Group C,High school,Free/Reduced,Completed,64,99,86,Yes,14,Yes,3,Yes,Average,3.7,Low,5
S0672,Female,Group E,Associate degree,Free/Reduced,Completed,86,65,96,Yes,5,Yes,8,Yes,Good,5,Medium,4
S0673,Female,Group D,Master's degree,Standard,Completed,78,46,77,No,12,No,4,No,Poor,3.3,High,5
S0674,Male,Group E,Bachelor's degree,Standard,Completed,39,30,49,No,15,No,3,No,Poor,4.5,Medium,8
S0675,Male,Group C,Master's degree,Free/Reduced,None,58,96,91,No,26,No,3,Yes,Average,1.9,Low,4
S0676,Male,Group B,Some college,Standard,None,97,78,74,Yes,2,No,6,No,Good,5.6,High,9
S0677,Male,Group D,Some college,Standard,None,53,80,92,No,17,No,8,No,Average,1,High,3
S0678,Male,Group D,High school,Standard,None,72,72,37,No,0,Yes,10,Yes,Average,6,Medium,7
S0679,Female,Group D,Master's degree,Standard,None,68,60,55,Yes,24,Yes,5,No,Average,4,High,7
S0680,Female,Group A,Associate degree,Free/Reduced,Completed,54,53,67,Yes,16,No,1,Yes,Good,3.1,High,1
S0681,Female,Group C,Bachelor's degree,Free/Reduced,Completed,97,66,70,Yes,26,Yes,1,Yes,Average,2.2,Low,3
S0682,Male,Group A,Master's degree,Free/Reduced,None,63,94,31,No,19,Yes,3,No,Good,2.7,Medium,10
S0683,Female,Group D,Master's degree,Free/Reduced,None,82,92,36,No,5,Yes,6,No,Poor,4.8,Low,1
S0684,Male,Group D,Bachelor's degree,Free/Reduced,None,84,85,54,Yes,8,Yes,2,Yes,Average,1.3,Medium,8
S0685,Male,Group E,Master's degree,Standard,None,82,47,80,No,3,Yes,1,Yes,Poor,1.9,Low,10
S0686,Female,Group A,Master's degree,Free/Reduced,Completed,47,94,79,No,6,No,7,Yes,Average,1.2,Medium,5
S0687,Female,Group B,Bachelor's degree,Free/Reduced,None,36,58,93,No,22,No,2,No,Poor,2.8,High,4
S0688,Male,Group C,Associate degree,Standard,Completed,92,33,41,No,28,Yes,8,No,Good,2.6,High,3
S0689,Male,Group B,Bachelor's degree,Standard,Completed,71,41,82,Yes,29,No,2,No,Average,4.1,Medium,7
S0690,Female,Group B,High school,Free/Reduced,None,40,85,39,No,21,No,1,No,Average,6,Medium,8
S0691,Male,Group C,High school,Standard,Completed,38,77,90,No,24,Yes,10,Yes,Good,5.4,Medium,8
S0692,Male,Group D,High school,Free/Reduced,None,64,48,84,No,10,Yes,2,No,Poor,5.3,Medium,1
S0693,Male,Group E,High school,Standard,Completed,94,55,97,Yes,25,Yes,2,No,Poor,4.1,High,7
S0694,Female,Group D,Some college,Free/Reduced,Completed,34,67,71,No,22,Yes,7,No,Good,2,Medium,5
S0695,Male,Group D,Associate degree,Free/Reduced,Completed,55,54,95,No,2,No,1,Yes,Poor,2.6,High,2
S0696,Male,Group A,Some college,Free/Reduced,Completed,80,85,73,No,15,Yes,3,No,Good,1.9,High,8
S0697,Male,Group B,Master's degree,Free/Reduced,Completed,67,57,57,Yes,5,Yes,5,Yes,Poor,1.2,Medium,2
S0698,Male,Group B,Master's degree,Standard,None,32,90,87,No,6,No,7,No,Good,2.9,High,6
S0699,Male,Group B,Bachelor's degree,Free/Reduced,Completed,88,80,31,Yes,11,Yes,6,Yes,Good,5.4,Medium,5
S0700,Male,Group E,High school,Free/Reduced,None,42,41,84,No,6,No,8,Yes,Good,4.6,High,6
S0701,Male,Group E,Bachelor's degree,Free/Reduced,None,64,37,63,Yes,28,No,1,Yes,Good,5.9,Medium,10
S0702,Female,Group E,Master's degree,Free/Reduced,Completed,32,87,49,Yes,21,Yes,7,Yes,Poor,1.6,Medium,8
S0703,Female,Group C,High school,Standard,None,82,52,76,No,18,No,9,No,Average,3.3,Low,9
S0704,Female,Group E,Associate degree,Standard,Completed,84,66,55,No,21,Yes,7,No,Poor,4.9,Low,3
S0705,Male,Group A,Master's degree,Free/Reduced,None,74,40,30,Yes,15,No,6,No,Good,3,Medium,3
S0706,Female,Group A,Bachelor's degree,Free/Reduced,None,95,46,94,Yes,17,Yes,9,Yes,Average,2.5,Low,7
S0707,Female,Group D,Bachelor's degree,Standard,Completed,96,85,44,No,9,Yes,4,Yes,Average,5,High,3
S0708,Male,Group D,Master's degree,Free/Reduced,None,73,82,43,No,28,No,10,Yes,Poor,2.9,Medium,10
S0709,Female,Group D,Some college,Free/Reduced,None,97,96,84,No,0,Yes,6,Yes,Good,5.5,Medium,5
S0710,Male,Group D,Associate degree,Standard,None,91,31,30,No,7,No,6,No,Good,2,Medium,10
S0711,Male,Group A,Master's degree,Standard,Completed,54,58,62,No,2,No,10,No,Good,5.4,Low,4
S0712,Male,Group D,Master's degree,Standard,None,81,86,99,No,29,Yes,3,Yes,Good,2,Low,9
S0713,Female,Group A,Bachelor's degree,Free/Reduced,None,79,63,85,No,15,No,7,No,Good,2.1,High,8
S0714,Male,Group E,High school,Free/Reduced,Completed,30,31,52,Yes,23,Yes,1,Yes,Average,2.8,Low,9
S0715,Female,Group E,High school,Free/Reduced,None,68,60,83,Yes,2,No,8,No,Poor,3.3,Low,6
S0716,Male,Group C,High school,Free/Reduced,Completed,81,73,32,No,1,Yes,8,No,Poor,2.8,High,2
S0717,Male,Group D,Bachelor's degree,Standard,None,69,85,75,No,11,No,8,Yes,Poor,5.2,Medium,8
S0718,Female,Group E,High school,Standard,None,89,83,35,No,7,No,9,No,Average,4.9,Medium,1
S0719,Male,Group E,Master's degree,Standard,None,98,82,54,Yes,18,No,4,Yes,Average,2.2,High,5
S0720,Female,Group B,Some college,Standard,Completed,49,75,46,Yes,23,No,6,No,Poor,3.3,Low,2
S0721,Male,Group B,Some college,Free/Reduced,None,31,83,57,No,17,No,7,Yes,Average,2.9,High,7
S0722,Male,Group A,Some college,Free/Reduced,Completed,38,60,61,No,19,Yes,2,Yes,Average,0.8,High,5
S0723,Male,Group C,High school,Standard,Completed,68,53,52,Yes,24,Yes,6,Yes,Poor,4.6,Medium,10
S0724,Male,Group B,Some college,Free/Reduced,None,59,54,45,Yes,14,No,8,No,Average,1.5,Low,3
S0725,Male,Group C,High school,Standard,None,83,64,55,Yes,16,Yes,4,No,Good,5.6,Medium,7
S0726,Male,Group E,Master's degree,Standard,Completed,87,86,62,No,17,Yes,5,Yes,Poor,2.7,Medium,3
S0727,Male,Group A,Master's degree,Free/Reduced,None,73,98,87,No,17,Yes,8,Yes,Poor,3.9,High,6
S0728,Male,Group C,Bachelor's degree,Free/Reduced,None,72,57,77,Yes,8,No,3,No,Poor,5,Medium,4
S0729,Female,Group B,Bachelor's degree,Free/Reduced,None,39,62,84,No,25,Yes,6,Yes,Poor,1.5,Medium,10
S0730,Female,Group E,Associate degree,Free/Reduced,None,77,82,70,No,4,Yes,1,Yes,Average,3.5,Medium,2
S0731,Female,Group D,Master's degree,Free/Reduced,Completed,46,45,91,No,10,No,4,No,Poor,1.8,Low,9
S0732,Male,Group E,High school,Free/Reduced,None,34,55,46,Yes,28,No,6,Yes,Good,3.3,Low,6
S0733,Female,Group B,Associate degree,Free/Reduced,Completed,99,41,88,Yes,3,No,3,Yes,Average,3.7,Medium,5
S0734,Female,Group B,Master's degree,Free/Reduced,Completed,93,60,43,Yes,25,No,1,Yes,Average,1.4,High,5
S0735,Male,Group D,High school,Standard,Completed,95,56,50,No,9,No,6,No,Poor,3.7,High,8
S0736,Female,Group E,Master's degree,Standard,Completed,33,65,92,No,3,Yes,3,No,Average,3,Medium,5
S0737,Male,Group C,Master's degree,Free/Reduced,Completed,57,88,75,Yes,22,Yes,8,Yes,Average,3.4,Low,8
S0738,Female,Group C,High school,Free/Reduced,Completed,67,32,84,No,2,Yes,7,Yes,Average,5.5,High,8
S0739,Female,Group E,Master's degree,Standard,Completed,95,61,91,Yes,24,No,7,No,Poor,3.2,High,1
S0740,Female,Group C,Master's degree,Standard,None,96,44,68,No,15,Yes,8,Yes,Good,3.1,Low,4
S0741,Female,Group E,Master's degree,Standard,None,89,95,71,No,20,No,7,Yes,Poor,3.1,Low,9
